trial_id,user_message,label,model_choice
1585,"describer: hi
matcher: hello
describer: looking for a diamond at the top, triangle pointing towards the left
describer: close to a person praying on their knees
matcher: is there a triangle pointing right as well?
describer: there's a triangle on the right also. just below the diamond and to the right
describer: could also be seen as a mouse in silhouette
matcher: anything happening at the bottom?
describer: like a mountain - we've got 72 of these to get through
matcher: 72? oops.
",B,B
1586,"describer: awesome. this one looks like a seal
",G,H
1587,"describer: this one looks like a small dog balancing a ball on its nose
",K,E
1588,"describer: this looks like one of the spy vs spy guys looking down and walking with a flag on his right shoulder.
",A,B
1589,"describer: nice. this is a diamond on top of what looks like a state - top of state is a straight line
",J,J
1590,"describer: ok, could be a bow or bunny ears in profile on top of a lightning bolt
",E,C
1591,"describer: the other possible diamond/state combo. state looks like indiana
",H,E
1592,"describer: person ice skating with leg out and arms out in front
",I,A
1593,"describer: preacher with hands up in air
describer: air
",C,C
1594,"describer: graduate giving speech at lectern, in profile
matcher: pointing a direction?
describer: the lectern is pointing to the left
",D,B
1595,"describer: looks like shadow of a person on their knees facing right
describer: bottom half makes lightning bolt
",L,B
1596,"describer: same graduate sitting down with knees up and feet on ground. facing left
describer: looking down at feet
",F,B
1597,"describer: first diamond on top of state shape again
describer: straight line on top
",J,J
1598,"describer: graduate sitting and looking down from 2 questions ago
",F,E
1599,"describer: spy vs spy
",A,A
1600,"describer: graduate at lectern
matcher: left?
describer: yes
",D,A
1601,"describer: rabbit ears lightning bolt base looking right
",E,C
1602,"describer: seal with ball - diamond on left strange hook shape on right
",G,E
1603,"describer: mouse from beginning
describer: mountain base
",B,B
1604,"describer: indiana with diamond in top
",H,A
1605,"describer: preacher
",C,E
1606,"describer: dog with ball
",K,A
1607,"describer: shadow person lighting bolt base
",L,C
1608,"describer: ice skater
",I,A
1609,"describer: mouse
describer: repeat mouse mountain base
",B,E
1610,"describer: state with flat top diamond
",J,J
1611,"describer: dog with ball
",K,A
1612,"describer: shadow person lightning bolt base
",L,C
1613,"describer: grad at lectern
",D,B
1614,"describer: spy
",A,A
1615,"describer: sitting grad pointed left
",F,B
1616,"describer: seal with ball
",G,E
1617,"describer: preacher
",C,E
1618,"describer: rabbit ears lightning base
",E,C
1619,"describer: indiana diamond
",H,A
1620,"describer: skate
",I,A
1621,"describer: dog with ball
",K,A
1622,"describer: shadow lightning bolt
",L,D
1623,"describer: skate
",I,A
1624,"describer: rabbit ears
",E,E
1625,"describer: diamond flat top state
",J,J
1626,"describer: grad lectern
",D,B
1627,"describer: sitting grad
",F,B
1628,"describer: preacher
",C,E
1629,"describer: spy
",A,A
1630,"describer: seal
",G,H
