trial_id,user_message,label,model_choice
1585,"describer: hi
matcher: hello
describer: looking for a diamond at the top, triangle pointing towards the left
describer: close to a person praying on their knees
matcher: is there a triangle pointing right as well?
describer: there's a triangle on the right also. just below the diamond and to the right
describer: could also be seen as a mouse in silhouette
matcher: anything happening at the bottom?
describer: like a mountain - we've got 72 of these to get through
matcher: 72? oops.
",B,C
1586,"describer: awesome. this one looks like a seal
",G,F
1587,"describer: this one looks like a small dog balancing a ball on its nose
",K,G
1588,"describer: this looks like one of the spy vs spy guys looking down and walking with a flag on his right shoulder.
",A,G
1589,"describer: nice. this is a diamond on top of what looks like a state - top of state is a straight line
",J,J
1590,"describer: ok, could be a bow or bunny ears in profile on top of a lightning bolt
",E,C
1591,"describer: the other possible diamond/state combo. state looks like indiana
",H,H
1592,"describer: person ice skating with leg out and arms out in front
",I,C
1593,"describer: preacher with hands up in air
describer: air
",C,C
1594,"describer: graduate giving speech at lectern, in profile
matcher: pointing a direction?
describer: the lectern is pointing to the left
",D,D
1595,"describer: looks like shadow of a person on their knees facing right
describer: bottom half makes lightning bolt
",L,E
1596,"describer: same graduate sitting down with knees up and feet on ground. facing left
describer: looking down at feet
",F,F
1597,"describer: first diamond on top of state shape again
describer: straight line on top
",J,D
1598,"describer: graduate sitting and looking down from 2 questions ago
",F,F
1599,"describer: spy vs spy
",A,D
1600,"describer: graduate at lectern
matcher: left?
describer: yes
",D,F
1601,"describer: rabbit ears lightning bolt base looking right
",E,G
1602,"describer: seal with ball - diamond on left strange hook shape on right
",G,E
1603,"describer: mouse from beginning
describer: mountain base
",B,E
1604,"describer: indiana with diamond in top
",H,C
1605,"describer: preacher
",C,J
1606,"describer: dog with ball
",K,E
1607,"describer: shadow person lighting bolt base
",L,A
1608,"describer: ice skater
",I,G
1609,"describer: mouse
describer: repeat mouse mountain base
",B,E
1610,"describer: state with flat top diamond
",J,J
1611,"describer: dog with ball
",K,E
1612,"describer: shadow person lightning bolt base
",L,C
1613,"describer: grad at lectern
",D,F
1614,"describer: spy
",A,D
1615,"describer: sitting grad pointed left
",F,F
1616,"describer: seal with ball
",G,E
1617,"describer: preacher
",C,J
1618,"describer: rabbit ears lightning base
",E,E
1619,"describer: indiana diamond
",H,C
1620,"describer: skate
",I,G
1621,"describer: dog with ball
",K,E
1622,"describer: shadow lightning bolt
",L,D
1623,"describer: skate
",I,G
1624,"describer: rabbit ears
",E,I
1625,"describer: diamond flat top state
",J,J
1626,"describer: grad lectern
",D,H
1627,"describer: sitting grad
",F,F
1628,"describer: preacher
",C,J
1629,"describer: spy
",A,D
1630,"describer: seal
",G,H
1631,"describer: mouse
",B,H
1632,"describer: indiana diamond
",H,C
1633,"describer: skate
",I,G
1634,"describer: spy
",A,D
1635,"describer: shadow lightning bolt
",L,D
1636,"describer: seal
",G,H
1637,"describer: indiana diamond
",H,C
1638,"describer: flat top state diamond
",J,J
1639,"describer: sitting grad
",F,F
1640,"describer: preacher
",C,J
1641,"describer: mouse
",B,H
1642,"describer: grad lectern
",D,J
1643,"describer: dog ball
describer: diamond on nose dog on hind legs
",K,G
1644,"describer: rabbit ears
",E,I
1645,"describer: indiana
",H,D
1646,"describer: shadow lightning
",L,L
1647,"describer: sitting grad
describer: grad
",F,F
1648,"describer: dog and ball -
",K,E
1649,"describer: seal
",G,H
1650,"describer: flat top diamond
",J,J
1651,"describer: skate
",I,G
1652,"describer: rabbit ears
",E,I
1653,"describer: grad lectern
",D,J
1654,"describer: preacher
",C,J
1655,"describer: mouse
",B,H
1656,"describer: you did awesome!
describer: spy
",A,D
7102,"matcher: hello! :-)
describer: ok, so a diamond for the head and a full body with the point towards the right?
describer: hello there
describer: this moight be tough, but i will try my best
matcher: okay so like if the picture had  'hands' they would be pointing to the right?
describer: point is at the bottom
describer: no hands
describer: almost looks like they are sitting
matcher: so the bottom part of the picture is pointing right and the rest of the body is straight?
describer: yes, i think
",H,G
7103,"describer: awesome job
matcher: wohoo
describer: ok, diamond is on the left side. looks like two hands on the right one on top and the other lower. the body all the way to the left
",G,E
7104,"describer: yes
describer: looks like he is standing on one leg
",I,A
7105,"describer: straight out behind
describer: sorry
describer: standing on one leg. diamond on the back
describer: beak in the front
",A,C
7106,"describer: sitting with leg out,  bent a bit
matcher: no arms out?
describer: no arms
",F,F
7107,"describer: arms raised like a ghost
",C,C
7108,"describer: diamond as head with point on top. almost a full rectangle as a body, but an indent on the bottom pointing in
describer: top as a point going out on the right side
",J,H
7109,"describer: ha, these are hard to describe!
matcher: yah but you are doing good
describer: two triangles on top of a square for head
",E,G
7110,"describer: thanks
describer: zig zag body diamond on top
describer: looks like an s
",L,G
7111,"describer: looks like a priest in a robe
describer: hands pointing left
matcher: like he is standing? with feet and hands pointing left?
describer: yes
",D,A
7112,"describer: square and triangle on top
describer: small triangle on the bottom left
matcher: does it look like someone kneeling with their arms stretched out?
describer: not really
describer: you can see a small triangle on the left hand side on the bottom of the figure
",B,E
7113,"describer: looks like someone praying
describer: not the s shaped one
",K,I
7114,"describer: someone sitting with their knees up
",F,F
7115,"describer: standing on one foot with the other pointed out towards the right
",I,A
7116,"describer: looks like a small mountain and a large one with a square and 2 triangles on top
",E,E
6073,"matcher: howdy
",H,D
7372,"matcher: hi
",B,D
5961,"describer: hello there.  so, the image you'll want to select it looks almost like a person kneeling on the ground.
",B,F
5962,"describer: this one is standing on one leg, with one leg out, almost like an elephant head.
describer: the head looks like an elephant that is.
",A,A
5963,"matcher: got one!
describer: this one looks like it's laying in bed, with like half a blanket on them, the rest maybe cut by scissors.
describer: haha, yup!
describer: this is a very rough one to describe .
matcher: the one with a triangle on the back?
describer: i don't think so.  the head is right in the middle of it, if the entire shape was filled in, it'd look like they were in a bed.
matcher: count how many points are on it
matcher: 9?
describer: i think so - just go with your gut, this one is rough for me.
",J,F
5964,"describer: ok, this is the tallest one kneeling down with their arms out it looks like.
",K,F
5965,"describer: this one looks like a person flying.
",C,C
5966,"describer: ok, not the kneeling one from last time, but the other one kneeling that's tall.
",L,F
5967,"describer: the one that looks like the trix rabbit ears.  the one you thought it was when i gave that horrible bed description.
",E,E
5968,"describer: ok, pretty much completely shapeless person.
matcher: the one with the diamond on top pointing up?
describer: yeah
",H,J
5969,"describer: bah, i'm no good at this.
matcher: it's hard
describer: ok, so...this one is the other one with odd ears, not the previous.
describer: almost like a person laying back
describer: there's a square on one side, and an odd shape on the other side.
matcher: is the square pointing right and slightly to the bottom?
describer: angled downward.  it isn't the one that looks like the guy is standing up.
",G,F
5970,"matcher: i should have went with my gut on that one
describer: haha, just do that from now on, this is rough.
describer: ok, so this pretty much looks like a guy sitting, his legs angled a little upward, his head looking down.
",F,F
5971,"describer: balancing on one leg, one foot behind him like he's throwing a kick
matcher: the one with the two triangles pointing to the left?
describer: yup.
",I,E
5972,"describer: ok, this looks like a person with their arms held out.  doesn't look like either of the kneelers that you selected before.  but, same general position.
describer: if that makes sense.
",D,C
5973,"describer: ok, this is the one that looks the most like a kneeling person with their arms out.
",K,F
5974,"describer: we'll get there eventually haha.
matcher: they're all so similar
describer: yup, it's no big deal - we'll get what we get.
describer: ok, so....this looks like the one you selected last time, except instead of kneeling, they're kinda talller.
",D,D
5975,"describer: i'mma call that one dumbo from now on.
describer: the one you selected
matcher: nan
describer: this one is the one that looks like a person flying
",C,C
5976,"describer: ok....this is the one i struggled to describe the last time haha
describer: uh.  there's a diamond for a head.  no other feature you can really make out.
",J,J
5977,"matcher: did you see the one i clicked on?
matcher: we need to refer to that one as a car seat
describer: perfect.
describer: ok, this is the one that is leaning back on a triangle, the triangle is pointed downwards.
describer: it has two weird shaped ears.
",G,G
5978,"describer: ok.  this one looks like they're kneeling with their arms out, the shape is almost a lightning bolt.
",L,A
5979,"describer: ok that one is lightning bolt from now on
matcher: yep
describer: ok, now this guy looks like he's doing a karate kick.
describer: two triangles aiming to the left
matcher: the one with slanted square shape?
",I,E
5980,"describer: ok that one is karate kid
describer: this one is car seat.
matcher: nan
",H,F
5981,"describer: this one is dumbo
matcher: wait i forgot which was dumb let me think a sec
describer: looks like they're balanced on one leg, the other leg off the ground, a square to the right of their head
",A,C
5982,"describer: ok.  so, their body looks kind of like a disconnected triangle, and they're kneeling.
describer: there is a triangle on the left, and a triangle on the right, that aren't connected.
",B,A
5983,"matcher: that one looks like someone looking up to sky
describer: this looks like a person sitting down, their knees bent, laid back.
describer: ok, we'll call that one sky.  i think thats all the nicknames we shoudl use though, hard to remember them all haha
",F,F
5984,"describer: the one with the trix rabbit ears looking down.
",E,E
5985,"matcher: call him trix
describer: there ya go
describer: the one with their arms out that isn't kneeling.
",D,C
5986,"describer: car seat
matcher: that one looks like a statue
matcher: lets call it statue
",H,F
5987,"describer: the one you selected i think we said was lightning bolt
describer: this one is karate kid.
",I,G
5988,"describer: trix
",E,C
5989,"describer: god, i hate this one.  we're definitely nicknaming this one if you get it.
describer: it looks like a piece missing, and if you connected it, it'd look like the person was in a bed.  only their head you can really make out.
",J,F
5990,"describer: ok, that one is bed .
matcher: nan
describer: this one is the one that looks the most like they're kneeling with their arms out.  the tallest.
",K,C
5991,"describer: that one is lightning bolt
matcher: those two are hardest
describer: this is sky
",G,D
5992,"matcher: rats
describer: the one that's laying back, knees up.
",F,F
5993,"describer: ok, this is lightning bolt.
",L,D
5994,"describer: the flying dude.
",C,C
5995,"describer: the one you got wrong when i said guy glancing at the sky.
",B,C
5996,"describer: dumbo
describer: pretty much the one with the weird head, balancing on one leg.
",A,C
5997,"describer: car seat
matcher: yeah i forgot for a sec
",H,F
5998,"describer: haha it's ok, if you're unsure, ill help jog the memory.
describer: dumbo again.
",A,E
5999,"describer: trix
",E,C
