user_message,label,model_choice
"describer: hi
matcher: hello
describer: looking for a diamond at the top, triangle pointing towards the left
describer: close to a person praying on their knees
matcher: is there a triangle pointing right as well?
describer: there's a triangle on the right also. just below the diamond and to the right
describer: could also be seen as a mouse in silhouette
matcher: anything happening at the bottom?
describer: like a mountain - we've got 72 of these to get through
matcher: 72? oops.
",B,K
"describer: awesome. this one looks like a seal
",G,
"describer: this one looks like a small dog balancing a ball on its nose
",K,L
"describer: this looks like one of the spy vs spy guys looking down and walking with a flag on his right shoulder.
",A,A
"describer: nice. this is a diamond on top of what looks like a state - top of state is a straight line
",J,K
"describer: ok, could be a bow or bunny ears in profile on top of a lightning bolt
",E,K
"describer: the other possible diamond/state combo. state looks like indiana
",H,
"describer: person ice skating with leg out and arms out in front
",I,K
"describer: preacher with hands up in air
describer: air
",C,A
"describer: graduate giving speech at lectern, in profile
matcher: pointing a direction?
describer: the lectern is pointing to the left
",D,J
"describer: looks like shadow of a person on their knees facing right
describer: bottom half makes lightning bolt
",L,G
"describer: same graduate sitting down with knees up and feet on ground. facing left
describer: looking down at feet
",F,J
"describer: first diamond on top of state shape again
describer: straight line on top
",J,K
"describer: graduate sitting and looking down from 2 questions ago
",F,G
"describer: spy vs spy
",A,K
"describer: graduate at lectern
matcher: left?
describer: yes
",D,F
"describer: rabbit ears lightning bolt base looking right
",E,G
"describer: seal with ball - diamond on left strange hook shape on right
",G,
"describer: mouse from beginning
describer: mountain base
",B,K
"describer: indiana with diamond in top
",H,I
"describer: preacher
",C,K
"describer: dog with ball
",K,K
"describer: shadow person lighting bolt base
",L,K
"describer: ice skater
",I,K
"describer: mouse
describer: repeat mouse mountain base
",B,
"describer: state with flat top diamond
",J,K
"describer: dog with ball
",K,K
"describer: shadow person lightning bolt base
",L,F
"describer: grad at lectern
",D,K
"describer: spy
",A,K
"describer: sitting grad pointed left
",F,F
"describer: seal with ball
",G,J
"describer: preacher
",C,K
"describer: rabbit ears lightning base
",E,G
"describer: indiana diamond
",H,K
"describer: skate
",I,L
"describer: dog with ball
",K,K
"describer: shadow lightning bolt
",L,K
"describer: skate
",I,L
"describer: rabbit ears
",E,K
"describer: diamond flat top state
",J,G
"describer: grad lectern
",D,
"describer: sitting grad
",F,F
"describer: preacher
",C,K
"describer: spy
",A,K
"describer: seal
",G,K
"describer: mouse
",B,A
"describer: indiana diamond
",H,K
"describer: skate
",I,L
"describer: spy
",A,K
"describer: shadow lightning bolt
",L,K
"describer: seal
",G,K
"describer: indiana diamond
",H,K
"describer: flat top state diamond
",J,K
"describer: sitting grad
",F,F
"describer: preacher
",C,K
"describer: mouse
",B,A
"describer: grad lectern
",D,
"describer: dog ball
describer: diamond on nose dog on hind legs
",K,
"describer: rabbit ears
",E,K
"describer: indiana
",H,I
"describer: shadow lightning
",L,K
"describer: sitting grad
describer: grad
",F,
"describer: dog and ball -
",K,K
"describer: seal
",G,K
"describer: flat top diamond
",J,G
"describer: skate
",I,L
