user_message,label,model_choice
"describer: hi
matcher: hello
describer: looking for a diamond at the top, triangle pointing towards the left
describer: close to a person praying on their knees
matcher: is there a triangle pointing right as well?
describer: there's a triangle on the right also. just below the diamond and to the right
describer: could also be seen as a mouse in silhouette
matcher: anything happening at the bottom?
describer: like a mountain - we've got 72 of these to get through
matcher: 72? oops.
",B,A
"describer: awesome. this one looks like a seal
",G,A
"describer: this one looks like a small dog balancing a ball on its nose
",K,A
"describer: this looks like one of the spy vs spy guys looking down and walking with a flag on his right shoulder.
",A,A
"describer: nice. this is a diamond on top of what looks like a state - top of state is a straight line
",J,A
"describer: ok, could be a bow or bunny ears in profile on top of a lightning bolt
",E,A
"describer: the other possible diamond/state combo. state looks like indiana
",H,K
"describer: person ice skating with leg out and arms out in front
",I,A
"describer: preacher with hands up in air
describer: air
",C,I
"describer: graduate giving speech at lectern, in profile
matcher: pointing a direction?
describer: the lectern is pointing to the left
",D,A
"describer: looks like shadow of a person on their knees facing right
describer: bottom half makes lightning bolt
",L,B
"describer: same graduate sitting down with knees up and feet on ground. facing left
describer: looking down at feet
",F,I
"describer: first diamond on top of state shape again
describer: straight line on top
",J,I
"describer: graduate sitting and looking down from 2 questions ago
",F,A
"describer: spy vs spy
",A,A
"describer: graduate at lectern
matcher: left?
describer: yes
",D,I
"describer: rabbit ears lightning bolt base looking right
",E,A
"describer: seal with ball - diamond on left strange hook shape on right
",G,A
"describer: mouse from beginning
describer: mountain base
",B,I
"describer: indiana with diamond in top
",H,A
"describer: preacher
",C,A
"describer: dog with ball
",K,A
"describer: shadow person lighting bolt base
",L,A
"describer: ice skater
",I,A
"describer: mouse
describer: repeat mouse mountain base
",B,I
"describer: state with flat top diamond
",J,A
"describer: dog with ball
",K,A
"describer: shadow person lightning bolt base
",L,A
"describer: grad at lectern
",D,A
"describer: spy
",A,A
"describer: sitting grad pointed left
",F,A
"describer: seal with ball
",G,A
"describer: preacher
",C,A
"describer: rabbit ears lightning base
",E,A
"describer: indiana diamond
",H,A
"describer: skate
",I,A
"describer: dog with ball
",K,A
"describer: shadow lightning bolt
",L,A
"describer: skate
",I,A
"describer: rabbit ears
",E,A
"describer: diamond flat top state
",J,A
"describer: grad lectern
",D,A
"describer: sitting grad
",F,A
"describer: preacher
",C,A
"describer: spy
",A,A
"describer: seal
",G,A
"describer: mouse
",B,A
"describer: indiana diamond
",H,A
"describer: skate
",I,A
"describer: spy
",A,A
"describer: shadow lightning bolt
",L,A
"describer: seal
",G,A
"describer: indiana diamond
",H,A
"describer: flat top state diamond
",J,A
"describer: sitting grad
",F,A
"describer: preacher
",C,A
"describer: mouse
",B,A
"describer: grad lectern
",D,A
"describer: dog ball
describer: diamond on nose dog on hind legs
",K,I
"describer: rabbit ears
",E,A
"describer: indiana
",H,A
"describer: shadow lightning
",L,A
"describer: sitting grad
describer: grad
",F,G
"describer: dog and ball -
",K,A
"describer: seal
",G,A
"describer: flat top diamond
",J,A
"describer: skate
",I,A
"describer: rabbit ears
",E,A
"describer: grad lectern
",D,A
"describer: preacher
",C,A
"describer: mouse
",B,A
"describer: you did awesome!
describer: spy
",A,A
"matcher: hello! :-)
describer: ok, so a diamond for the head and a full body with the point towards the right?
describer: hello there
describer: this moight be tough, but i will try my best
matcher: okay so like if the picture had  'hands' they would be pointing to the right?
describer: point is at the bottom
describer: no hands
describer: almost looks like they are sitting
matcher: so the bottom part of the picture is pointing right and the rest of the body is straight?
describer: yes, i think
",H,A
"describer: awesome job
matcher: wohoo
describer: ok, diamond is on the left side. looks like two hands on the right one on top and the other lower. the body all the way to the left
",G,A
"describer: yes
describer: looks like he is standing on one leg
",I,I
"describer: straight out behind
describer: sorry
describer: standing on one leg. diamond on the back
describer: beak in the front
",A,A
"describer: sitting with leg out,  bent a bit
matcher: no arms out?
describer: no arms
",F,I
"describer: arms raised like a ghost
",C,A
"describer: diamond as head with point on top. almost a full rectangle as a body, but an indent on the bottom pointing in
describer: top as a point going out on the right side
",J,I
"describer: ha, these are hard to describe!
matcher: yah but you are doing good
describer: two triangles on top of a square for head
",E,A
"describer: thanks
describer: zig zag body diamond on top
describer: looks like an s
",L,I
"describer: looks like a priest in a robe
describer: hands pointing left
matcher: like he is standing? with feet and hands pointing left?
describer: yes
",D,A
"describer: square and triangle on top
describer: small triangle on the bottom left
matcher: does it look like someone kneeling with their arms stretched out?
describer: not really
describer: you can see a small triangle on the left hand side on the bottom of the figure
",B,A
"describer: looks like someone praying
describer: not the s shaped one
",K,I
"describer: someone sitting with their knees up
",F,A
"describer: standing on one foot with the other pointed out towards the right
",I,A
"describer: looks like a small mountain and a large one with a square and 2 triangles on top
",E,A
"matcher: howdy
",H,A
"matcher: hi
",B,A
"describer: hello there.  so, the image you'll want to select it looks almost like a person kneeling on the ground.
",B,A
"describer: this one is standing on one leg, with one leg out, almost like an elephant head.
describer: the head looks like an elephant that is.
",A,K
"matcher: got one!
describer: this one looks like it's laying in bed, with like half a blanket on them, the rest maybe cut by scissors.
describer: haha, yup!
describer: this is a very rough one to describe .
matcher: the one with a triangle on the back?
describer: i don't think so.  the head is right in the middle of it, if the entire shape was filled in, it'd look like they were in a bed.
matcher: count how many points are on it
matcher: 9?
describer: i think so - just go with your gut, this one is rough for me.
",J,A
"describer: ok, this is the tallest one kneeling down with their arms out it looks like.
",K,A
"describer: this one looks like a person flying.
",C,A
"describer: ok, not the kneeling one from last time, but the other one kneeling that's tall.
",L,A
"describer: the one that looks like the trix rabbit ears.  the one you thought it was when i gave that horrible bed description.
",E,A
"describer: ok, pretty much completely shapeless person.
matcher: the one with the diamond on top pointing up?
describer: yeah
",H,I
"describer: bah, i'm no good at this.
matcher: it's hard
describer: ok, so...this one is the other one with odd ears, not the previous.
describer: almost like a person laying back
describer: there's a square on one side, and an odd shape on the other side.
matcher: is the square pointing right and slightly to the bottom?
describer: angled downward.  it isn't the one that looks like the guy is standing up.
",G,F
"matcher: i should have went with my gut on that one
describer: haha, just do that from now on, this is rough.
describer: ok, so this pretty much looks like a guy sitting, his legs angled a little upward, his head looking down.
",F,A
"describer: balancing on one leg, one foot behind him like he's throwing a kick
matcher: the one with the two triangles pointing to the left?
describer: yup.
",I,A
