trial_id,stage_num,rep_num,trial_num,chat_prompt,model_choice,target
1585,1,1,1,"[{'role': 'user', 'content': ""describer: hi\nmatcher: hello\ndescriber: looking for a diamond at the top, triangle pointing towards the left\ndescriber: close to a person praying on their knees\nmatcher: is there a triangle pointing right as well?\ndescriber: there's a triangle on the right also. just below the diamond and to the right\ndescriber: could also be seen as a mouse in silhouette\nmatcher: anything happening at the bottom?\ndescriber: like a mountain - we've got 72 of these to get through\nmatcher: 72? oops.\n""}]",C,B
1586,1,1,2,"[{'role': 'user', 'content': 'describer: awesome. this one looks like a seal\n'}]",F,G
1587,1,1,3,"[{'role': 'user', 'content': 'describer: this one looks like a small dog balancing a ball on its nose\n'}]",E,K
1588,1,1,4,"[{'role': 'user', 'content': 'describer: this looks like one of the spy vs spy guys looking down and walking with a flag on his right shoulder.\n'}]",C,A
1589,1,1,5,"[{'role': 'user', 'content': 'describer: nice. this is a diamond on top of what looks like a state - top of state is a straight line\n'}]",J,J
1590,1,1,6,"[{'role': 'user', 'content': 'describer: ok, could be a bow or bunny ears in profile on top of a lightning bolt\n'}]",E,E
1591,1,1,7,"[{'role': 'user', 'content': 'describer: the other possible diamond/state combo. state looks like indiana\n'}]",G,H
1592,1,1,8,"[{'role': 'user', 'content': 'describer: person ice skating with leg out and arms out in front\n'}]",C,I
1593,1,1,9,"[{'role': 'user', 'content': 'describer: preacher with hands up in air\ndescriber: air\n'}]",C,C
1594,1,1,10,"[{'role': 'user', 'content': 'describer: graduate giving speech at lectern, in profile\nmatcher: pointing a direction?\ndescriber: the lectern is pointing to the left\n'}]",D,D
1595,1,1,11,"[{'role': 'user', 'content': 'describer: looks like shadow of a person on their knees facing right\ndescriber: bottom half makes lightning bolt\n'}]",E,L
1596,1,1,12,"[{'role': 'user', 'content': 'describer: same graduate sitting down with knees up and feet on ground. facing left\ndescriber: looking down at feet\n'}]",F,F
1597,1,2,13,"[{'role': 'user', 'content': 'describer: first diamond on top of state shape again\ndescriber: straight line on top\n'}]",D,J
1598,1,2,14,"[{'role': 'user', 'content': 'describer: graduate sitting and looking down from 2 questions ago\n'}]",F,F
1599,1,2,15,"[{'role': 'user', 'content': 'describer: spy vs spy\n'}]",D,A
1600,1,2,16,"[{'role': 'user', 'content': 'describer: graduate at lectern\nmatcher: left?\ndescriber: yes\n'}]",F,D
1601,1,2,17,"[{'role': 'user', 'content': 'describer: rabbit ears lightning bolt base looking right\n'}]",C,E
1602,1,2,18,"[{'role': 'user', 'content': 'describer: seal with ball - diamond on left strange hook shape on right\n'}]",E,G
1603,1,2,19,"[{'role': 'user', 'content': 'describer: mouse from beginning\ndescriber: mountain base\n'}]",E,B
1604,1,2,20,"[{'role': 'user', 'content': 'describer: indiana with diamond in top\n'}]",C,H
1605,1,2,21,"[{'role': 'user', 'content': 'describer: preacher\n'}]",J,C
1606,1,2,22,"[{'role': 'user', 'content': 'describer: dog with ball\n'}]",E,K
1607,1,2,23,"[{'role': 'user', 'content': 'describer: shadow person lighting bolt base\n'}]",A,L
1608,1,2,24,"[{'role': 'user', 'content': 'describer: ice skater\n'}]",C,I
1609,1,3,25,"[{'role': 'user', 'content': 'describer: mouse\ndescriber: repeat mouse mountain base\n'}]",E,B
1610,1,3,26,"[{'role': 'user', 'content': 'describer: state with flat top diamond\n'}]",J,J
1611,1,3,27,"[{'role': 'user', 'content': 'describer: dog with ball\n'}]",E,K
1612,1,3,28,"[{'role': 'user', 'content': 'describer: shadow person lightning bolt base\n'}]",C,L
1613,1,3,29,"[{'role': 'user', 'content': 'describer: grad at lectern\n'}]",F,D
1614,1,3,30,"[{'role': 'user', 'content': 'describer: spy\n'}]",D,A
1615,1,3,31,"[{'role': 'user', 'content': 'describer: sitting grad pointed left\n'}]",F,F
1616,1,3,32,"[{'role': 'user', 'content': 'describer: seal with ball\n'}]",E,G
1617,1,3,33,"[{'role': 'user', 'content': 'describer: preacher\n'}]",J,C
1618,1,3,34,"[{'role': 'user', 'content': 'describer: rabbit ears lightning base\n'}]",C,E
1619,1,3,35,"[{'role': 'user', 'content': 'describer: indiana diamond\n'}]",C,H
1620,1,3,36,"[{'role': 'user', 'content': 'describer: skate\n'}]",C,I
1621,1,4,37,"[{'role': 'user', 'content': 'describer: dog with ball\n'}]",E,K
1622,1,4,38,"[{'role': 'user', 'content': 'describer: shadow lightning bolt\n'}]",D,L
1623,1,4,39,"[{'role': 'user', 'content': 'describer: skate\n'}]",C,I
1624,1,4,40,"[{'role': 'user', 'content': 'describer: rabbit ears\n'}]",E,E
1625,1,4,41,"[{'role': 'user', 'content': 'describer: diamond flat top state\n'}]",J,J
1626,1,4,42,"[{'role': 'user', 'content': 'describer: grad lectern\n'}]",H,D
1627,1,4,43,"[{'role': 'user', 'content': 'describer: sitting grad\n'}]",F,F
1628,1,4,44,"[{'role': 'user', 'content': 'describer: preacher\n'}]",J,C
1629,1,4,45,"[{'role': 'user', 'content': 'describer: spy\n'}]",D,A
1630,1,4,46,"[{'role': 'user', 'content': 'describer: seal\n'}]",H,G
1631,1,4,47,"[{'role': 'user', 'content': 'describer: mouse\n'}]",D,B
1632,1,4,48,"[{'role': 'user', 'content': 'describer: indiana diamond\n'}]",C,H
1633,1,5,49,"[{'role': 'user', 'content': 'describer: skate\n'}]",C,I
1634,1,5,50,"[{'role': 'user', 'content': 'describer: spy\n'}]",D,A
1635,1,5,51,"[{'role': 'user', 'content': 'describer: shadow lightning bolt\n'}]",D,L
1636,1,5,52,"[{'role': 'user', 'content': 'describer: seal\n'}]",H,G
1637,1,5,53,"[{'role': 'user', 'content': 'describer: indiana diamond\n'}]",C,H
1638,1,5,54,"[{'role': 'user', 'content': 'describer: flat top state diamond\n'}]",J,J
1639,1,5,55,"[{'role': 'user', 'content': 'describer: sitting grad\n'}]",F,F
1640,1,5,56,"[{'role': 'user', 'content': 'describer: preacher\n'}]",J,C
1641,1,5,57,"[{'role': 'user', 'content': 'describer: mouse\n'}]",D,B
1642,1,5,58,"[{'role': 'user', 'content': 'describer: grad lectern\n'}]",H,D
1643,1,5,59,"[{'role': 'user', 'content': 'describer: dog ball\ndescriber: diamond on nose dog on hind legs\n'}]",G,K
1644,1,5,60,"[{'role': 'user', 'content': 'describer: rabbit ears\n'}]",E,E
1645,1,6,61,"[{'role': 'user', 'content': 'describer: indiana\n'}]",D,H
1646,1,6,62,"[{'role': 'user', 'content': 'describer: shadow lightning\n'}]",L,L
1647,1,6,63,"[{'role': 'user', 'content': 'describer: sitting grad\ndescriber: grad\n'}]",F,F
1648,1,6,64,"[{'role': 'user', 'content': 'describer: dog and ball -\n'}]",E,K
1649,1,6,65,"[{'role': 'user', 'content': 'describer: seal\n'}]",H,G
1650,1,6,66,"[{'role': 'user', 'content': 'describer: flat top diamond\n'}]",J,J
1651,1,6,67,"[{'role': 'user', 'content': 'describer: skate\n'}]",C,I
1652,1,6,68,"[{'role': 'user', 'content': 'describer: rabbit ears\n'}]",E,E
1653,1,6,69,"[{'role': 'user', 'content': 'describer: grad lectern\n'}]",H,D
1654,1,6,70,"[{'role': 'user', 'content': 'describer: preacher\n'}]",J,C
1655,1,6,71,"[{'role': 'user', 'content': 'describer: mouse\n'}]",D,B
1656,1,6,72,"[{'role': 'user', 'content': 'describer: you did awesome!\ndescriber: spy\n'}]",D,A
7102,1,1,1,"[{'role': 'user', 'content': ""matcher: hello! :-)\ndescriber: ok, so a diamond for the head and a full body with the point towards the right?\ndescriber: hello there\ndescriber: this moight be tough, but i will try my best\nmatcher: okay so like if the picture had  'hands' they would be pointing to the right?\ndescriber: point is at the bottom\ndescriber: no hands\ndescriber: almost looks like they are sitting\nmatcher: so the bottom part of the picture is pointing right and the rest of the body is straight?\ndescriber: yes, i think\n""}]",G,H
7103,1,1,2,"[{'role': 'user', 'content': 'describer: awesome job\nmatcher: wohoo\ndescriber: ok, diamond is on the left side. looks like two hands on the right one on top and the other lower. the body all the way to the left\n'}]",A,G
7104,1,1,3,"[{'role': 'user', 'content': 'describer: yes\ndescriber: looks like he is standing on one leg\n'}]",A,I
7105,1,1,4,"[{'role': 'user', 'content': 'describer: straight out behind\ndescriber: sorry\ndescriber: standing on one leg. diamond on the back\ndescriber: beak in the front\n'}]",C,A
7106,1,1,5,"[{'role': 'user', 'content': 'describer: sitting with leg out,  bent a bit\nmatcher: no arms out?\ndescriber: no arms\n'}]",F,F
7107,1,1,6,"[{'role': 'user', 'content': 'describer: arms raised like a ghost\n'}]",C,C
7108,1,1,7,"[{'role': 'user', 'content': 'describer: diamond as head with point on top. almost a full rectangle as a body, but an indent on the bottom pointing in\ndescriber: top as a point going out on the right side\n'}]",J,J
7109,1,1,8,"[{'role': 'user', 'content': 'describer: ha, these are hard to describe!\nmatcher: yah but you are doing good\ndescriber: two triangles on top of a square for head\n'}]",G,E
7110,1,1,9,"[{'role': 'user', 'content': 'describer: thanks\ndescriber: zig zag body diamond on top\ndescriber: looks like an s\n'}]",L,L
7111,1,1,10,"[{'role': 'user', 'content': 'describer: looks like a priest in a robe\ndescriber: hands pointing left\nmatcher: like he is standing? with feet and hands pointing left?\ndescriber: yes\n'}]",A,D
7112,1,1,11,"[{'role': 'user', 'content': 'describer: square and triangle on top\ndescriber: small triangle on the bottom left\nmatcher: does it look like someone kneeling with their arms stretched out?\ndescriber: not really\ndescriber: you can see a small triangle on the left hand side on the bottom of the figure\n'}]",E,B
7113,1,1,12,"[{'role': 'user', 'content': 'describer: looks like someone praying\ndescriber: not the s shaped one\n'}]",E,K
7114,1,2,13,"[{'role': 'user', 'content': 'describer: someone sitting with their knees up\n'}]",F,F
7115,1,2,14,"[{'role': 'user', 'content': 'describer: standing on one foot with the other pointed out towards the right\n'}]",A,I
7116,1,2,15,"[{'role': 'user', 'content': 'describer: looks like a small mountain and a large one with a square and 2 triangles on top\n'}]",E,E
6073,1,1,1,"[{'role': 'user', 'content': 'matcher: howdy\n'}]",H,H
7372,1,1,2,"[{'role': 'user', 'content': 'matcher: hi\n'}]",D,B
5961,1,1,1,"[{'role': 'user', 'content': ""describer: hello there.  so, the image you'll want to select it looks almost like a person kneeling on the ground.\n""}]",F,B
5962,1,1,2,"[{'role': 'user', 'content': 'describer: this one is standing on one leg, with one leg out, almost like an elephant head.\ndescriber: the head looks like an elephant that is.\n'}]",A,A
5963,1,1,3,"[{'role': 'user', 'content': ""matcher: got one!\ndescriber: this one looks like it's laying in bed, with like half a blanket on them, the rest maybe cut by scissors.\ndescriber: haha, yup!\ndescriber: this is a very rough one to describe .\nmatcher: the one with a triangle on the back?\ndescriber: i don't think so.  the head is right in the middle of it, if the entire shape was filled in, it'd look like they were in a bed.\nmatcher: count how many points are on it\nmatcher: 9?\ndescriber: i think so - just go with your gut, this one is rough for me.\n""}]",F,J
5964,1,1,4,"[{'role': 'user', 'content': 'describer: ok, this is the tallest one kneeling down with their arms out it looks like.\n'}]",F,K
5965,1,1,5,"[{'role': 'user', 'content': 'describer: this one looks like a person flying.\n'}]",C,C
5966,1,1,6,"[{'role': 'user', 'content': ""describer: ok, not the kneeling one from last time, but the other one kneeling that's tall.\n""}]",F,L
5967,1,1,7,"[{'role': 'user', 'content': 'describer: the one that looks like the trix rabbit ears.  the one you thought it was when i gave that horrible bed description.\n'}]",E,E
5968,1,1,8,"[{'role': 'user', 'content': 'describer: ok, pretty much completely shapeless person.\nmatcher: the one with the diamond on top pointing up?\ndescriber: yeah\n'}]",J,H
5969,1,1,9,"[{'role': 'user', 'content': ""describer: bah, i'm no good at this.\nmatcher: it's hard\ndescriber: ok, so...this one is the other one with odd ears, not the previous.\ndescriber: almost like a person laying back\ndescriber: there's a square on one side, and an odd shape on the other side.\nmatcher: is the square pointing right and slightly to the bottom?\ndescriber: angled downward.  it isn't the one that looks like the guy is standing up.\n""}]",F,G
5970,1,1,10,"[{'role': 'user', 'content': 'matcher: i should have went with my gut on that one\ndescriber: haha, just do that from now on, this is rough.\ndescriber: ok, so this pretty much looks like a guy sitting, his legs angled a little upward, his head looking down.\n'}]",F,F
5971,1,1,11,"[{'role': 'user', 'content': ""describer: balancing on one leg, one foot behind him like he's throwing a kick\nmatcher: the one with the two triangles pointing to the left?\ndescriber: yup.\n""}]",C,I
5972,1,1,12,"[{'role': 'user', 'content': ""describer: ok, this looks like a person with their arms held out.  doesn't look like either of the kneelers that you selected before.  but, same general position.\ndescriber: if that makes sense.\n""}]",C,D
5973,1,2,13,"[{'role': 'user', 'content': 'describer: ok, this is the one that looks the most like a kneeling person with their arms out.\n'}]",F,K
5974,1,2,14,"[{'role': 'user', 'content': ""describer: we'll get there eventually haha.\nmatcher: they're all so similar\ndescriber: yup, it's no big deal - we'll get what we get.\ndescriber: ok, so....this looks like the one you selected last time, except instead of kneeling, they're kinda talller.\n""}]",D,D
5975,1,2,15,"[{'role': 'user', 'content': ""describer: i'mma call that one dumbo from now on.\ndescriber: the one you selected\nmatcher: \ndescriber: this one is the one that looks like a person flying\n""}]",C,C
5976,1,2,16,"[{'role': 'user', 'content': ""describer: ok....this is the one i struggled to describe the last time haha\ndescriber: uh.  there's a diamond for a head.  no other feature you can really make out.\n""}]",J,J
5977,1,2,17,"[{'role': 'user', 'content': 'matcher: did you see the one i clicked on?\nmatcher: we need to refer to that one as a car seat\ndescriber: perfect.\ndescriber: ok, this is the one that is leaning back on a triangle, the triangle is pointed downwards.\ndescriber: it has two weird shaped ears.\n'}]",G,G
5978,1,2,18,"[{'role': 'user', 'content': ""describer: ok.  this one looks like they're kneeling with their arms out, the shape is almost a lightning bolt.\n""}]",A,L
5979,1,2,19,"[{'role': 'user', 'content': ""describer: ok that one is lightning bolt from now on\nmatcher: yep\ndescriber: ok, now this guy looks like he's doing a karate kick.\ndescriber: two triangles aiming to the left\nmatcher: the one with slanted square shape?\n""}]",C,I
5980,1,2,20,"[{'role': 'user', 'content': 'describer: ok that one is karate kid\ndescriber: this one is car seat.\nmatcher: \n'}]",F,H
5981,1,2,21,"[{'role': 'user', 'content': ""describer: this one is dumbo\nmatcher: wait i forgot which was dumb let me think a sec\ndescriber: looks like they're balanced on one leg, the other leg off the ground, a square to the right of their head\n""}]",C,A
5982,1,2,22,"[{'role': 'user', 'content': ""describer: ok.  so, their body looks kind of like a disconnected triangle, and they're kneeling.\ndescriber: there is a triangle on the left, and a triangle on the right, that aren't connected.\n""}]",A,B
5983,1,2,23,"[{'role': 'user', 'content': ""matcher: that one looks like someone looking up to sky\ndescriber: this looks like a person sitting down, their knees bent, laid back.\ndescriber: ok, we'll call that one sky.  i think thats all the nicknames we shoudl use though, hard to remember them all haha\n""}]",F,F
5984,1,2,24,"[{'role': 'user', 'content': 'describer: the one with the trix rabbit ears looking down.\n'}]",E,E
5985,1,3,25,"[{'role': 'user', 'content': ""matcher: call him trix\ndescriber: there ya go\ndescriber: the one with their arms out that isn't kneeling.\n""}]",C,D
5986,1,3,26,"[{'role': 'user', 'content': 'describer: car seat\nmatcher: that one looks like a statue\nmatcher: lets call it statue\n'}]",F,H
5987,1,3,27,"[{'role': 'user', 'content': 'describer: the one you selected i think we said was lightning bolt\ndescriber: this one is karate kid.\n'}]",C,I
5988,1,3,28,"[{'role': 'user', 'content': 'describer: trix\n'}]",C,E
5989,1,3,29,"[{'role': 'user', 'content': ""describer: god, i hate this one.  we're definitely nicknaming this one if you get it.\ndescriber: it looks like a piece missing, and if you connected it, it'd look like the person was in a bed.  only their head you can really make out.\n""}]",F,J
5990,1,3,30,"[{'role': 'user', 'content': ""describer: ok, that one is bed .\nmatcher: \ndescriber: this one is the one that looks the most like they're kneeling with their arms out.  the tallest.\n""}]",C,K
5991,1,3,31,"[{'role': 'user', 'content': 'describer: that one is lightning bolt\nmatcher: those two are hardest\ndescriber: this is sky\n'}]",D,G
5992,1,3,32,"[{'role': 'user', 'content': ""matcher: rats\ndescriber: the one that's laying back, knees up.\n""}]",F,F
5993,1,3,33,"[{'role': 'user', 'content': 'describer: ok, this is lightning bolt.\n'}]",D,L
5994,1,3,34,"[{'role': 'user', 'content': 'describer: the flying dude.\n'}]",C,C
5995,1,3,35,"[{'role': 'user', 'content': 'describer: the one you got wrong when i said guy glancing at the sky.\n'}]",C,B
5996,1,3,36,"[{'role': 'user', 'content': 'describer: dumbo\ndescriber: pretty much the one with the weird head, balancing on one leg.\n'}]",C,A
5997,1,4,37,"[{'role': 'user', 'content': 'describer: car seat\nmatcher: yeah i forgot for a sec\n'}]",F,H
5998,1,4,38,"[{'role': 'user', 'content': ""describer: haha it's ok, if you're unsure, ill help jog the memory.\ndescriber: dumbo again.\n""}]",E,A
5999,1,4,39,"[{'role': 'user', 'content': 'describer: trix\n'}]",C,E
6000,1,4,40,"[{'role': 'user', 'content': 'describer: flying dude\n'}]",C,C
6001,1,4,41,"[{'role': 'user', 'content': 'describer: the guy reclining with knees up\n'}]",F,F
6002,1,4,42,"[{'role': 'user', 'content': 'describer: ok, not lightning bolt, but the other one kneeling.\n'}]",F,K
6003,1,4,43,"[{'role': 'user', 'content': 'describer: lightning bolt\n'}]",C,L
